ticker,company_name,ciq_company_id,ciq_company_name,exchange,sector,industry,match_method,match_confidence,is_primary_share_class,primary_ticker,related_tickers,mapping_status,notes,universe_as_of_date,mapping_verified_at,mapping_source,first_transcript_date,last_transcript_date,distinct_transcript_years,deduped_call_count,coverage_status,coverage_filter_reason,manual_keep_exception
FTNT,Fortinet,2689126,"Fortinet, Inc.",Nasdaq,Technology,Computer Peripheral Equipment,ticker_exchange_match,0.99,True,FTNT,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=2,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2010-04-28,2025-11-05,16,92,keep_min10y,distinct_transcript_years_ge_10,False
GILD,Gilead Sciences,29002,"Gilead Sciences, Inc.",Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,GILD,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=12,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-01-30,2025-10-30,20,78,keep_min10y,distinct_transcript_years_ge_10,False
GOOG,Alphabet Inc. (Class C),29096,Alphabet Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,False,GOOGL,GOOG|GOOGL,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-04-20,2025-10-29,20,79,keep_min10y,distinct_transcript_years_ge_10,False
GOOGL,Alphabet Inc. (Class A),29096,Alphabet Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,GOOGL,GOOG|GOOGL,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=13,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-04-20,2025-10-29,20,79,keep_min10y,distinct_transcript_years_ge_10,False
HON,Honeywell,1340740,Honeywell International Inc.,Nasdaq,Industrials,Aerospace,ticker_exchange_match,0.99,True,HON,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=17,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2007-07-19,2025-10-23,19,74,keep_min10y,distinct_transcript_years_ge_10,False
IDXX,Idexx Laboratories,29729,"IDEXX Laboratories, Inc.",Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,IDXX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2008-01-25,2025-11-03,18,70,keep_min10y,distinct_transcript_years_ge_10,False
INSM,Insmed Incorporated,29978,Insmed Incorporated,Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,INSM,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2008-08-08,2025-10-30,18,55,keep_min10y,distinct_transcript_years_ge_10,False
INTC,Intel,21127,Intel Corporation,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,INTC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=16,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-01-17,2025-10-23,20,80,keep_min10y,distinct_transcript_years_ge_10,False
INTU,Intuit,21171,Intuit Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,INTU,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=7,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2006-02-16,2025-11-20,20,78,keep_min10y,distinct_transcript_years_ge_10,False
ISRG,Intuitive Surgical,30239,"Intuitive Surgical, Inc.",Nasdaq,Health Care,Industrial Specialties,ticker_exchange_match,0.99,True,ISRG,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-13,2026-05-13T15:12:38,WRDS Capital IQ schema-inspected ticker/company lookup,2007-07-19,2025-10-21,19,74,keep_min10y,distinct_transcript_years_ge_10,False
