ticker,company_name,ciq_company_id,ciq_company_name,exchange,sector,industry,match_method,match_confidence,is_primary_share_class,primary_ticker,related_tickers,mapping_status,notes,universe_as_of_date,mapping_verified_at,mapping_source
FTNT,Fortinet,2689126,"Fortinet, Inc.",Nasdaq,Technology,Computer Peripheral Equipment,ticker_exchange_match,0.99,True,FTNT,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=2,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
GEHC,GE HealthCare,1804385326,GE HealthCare Technologies Inc.,Nasdaq,Health Care,Medical Electronics,ticker_exchange_match,0.99,True,GEHC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=2,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
GILD,Gilead Sciences,29002,"Gilead Sciences, Inc.",Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,GILD,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=11,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
GOOG,Alphabet Inc. (Class C),29096,Alphabet Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,False,GOOGL,GOOG|GOOGL,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=10,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
GOOGL,Alphabet Inc. (Class A),29096,Alphabet Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,GOOGL,GOOG|GOOGL,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=12,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
HON,Honeywell,1340740,Honeywell International Inc.,Nasdaq,Industrials,Aerospace,ticker_exchange_match,0.99,True,HON,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=17,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
IDXX,Idexx Laboratories,29729,"IDEXX Laboratories, Inc.",Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,IDXX,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=3,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
INSM,Insmed Incorporated,29978,Insmed Incorporated,Nasdaq,Health Care,Biotechnology,ticker_exchange_match,0.99,True,INSM,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=6,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
INTC,Intel,21127,Intel Corporation,Nasdaq,Technology,Semiconductors,ticker_exchange_match,0.99,True,INTC,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=15,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
INTU,Intuit,21171,Intuit Inc.,Nasdaq,Technology,Computer Software,ticker_exchange_match,0.99,True,INTU,,verified,candidate_source=trading_item_join; name_similarity=1.000; candidate_count=8,2026-05-26,2026-05-26T02:29:55,WRDS Capital IQ schema-inspected ticker/company lookup
